document_verification_id,document_id,customer_id,verification_date,verification_provider,document_authenticity_status,name_match_status,date_of_birth_match_status,expiry_check_status,verification_score,verification_status
DV000459,DOC000459,CUST00230,2024-03-29,Manual Review,Authentic,Matched,Matched,Valid,87.71,Verified
DV000460,DOC000460,CUST00230,2026-01-28,Persona,Authentic,Matched,Matched,Valid,95.11,Verified
DV000461,DOC000461,CUST00231,2024-09-17,Manual Review,Suspicious,Mismatch,Review Required,Expired,40.04,Rejected
DV000462,DOC000462,CUST00231,2026-04-19,Onfido,Authentic,Matched,Matched,Expired,92.13,Verified
DV000463,DOC000463,CUST00232,2026-10-27,Onfido,Authentic,Matched,Matched,Valid,89.21,Verified
DV000464,DOC000464,CUST00232,2026-05-08,Persona,Authentic,Matched,Matched,Valid,87.05,Verified
DV000465,DOC000465,CUST00233,2025-09-04,Internal KYC Engine,Authentic,Matched,Matched,Expired,90.82,Verified
DV000466,DOC000466,CUST00233,2024-12-30,Onfido,Authentic,Matched,Matched,Valid,93.21,Verified
DV000467,DOC000467,CUST00234,2024-11-04,Manual Review,Authentic,Matched,Matched,Expired,99.81,Verified
DV000468,DOC000468,CUST00234,2026-03-28,Manual Review,Authentic,Matched,Matched,Valid,87.54,Verified
DV000469,DOC000469,CUST00235,2025-12-25,Onfido,Authentic,Matched,Matched,Valid,95.27,Verified
DV000470,DOC000470,CUST00235,2026-07-06,Persona,Authentic,Matched,Matched,Valid,82.77,Verified
DV000471,DOC000471,CUST00236,2026-11-04,Persona,Authentic,Matched,Matched,Valid,86.16,Verified
DV000472,DOC000472,CUST00236,2025-04-02,Internal KYC Engine,Authentic,Matched,Matched,Valid,86.87,Verified
DV000473,DOC000473,CUST00237,2024-01-19,Manual Review,Authentic,Matched,Matched,Valid,93.42,Verified
DV000474,DOC000474,CUST00237,2024-10-06,Onfido,Authentic,Matched,Matched,Valid,94.76,Verified
DV000475,DOC000475,CUST00238,2026-04-23,Manual Review,Rejected,Review Required,Review Required,Expired,39.83,Rejected
DV000476,DOC000476,CUST00238,2026-03-22,Manual Review,Under Review,Review Required,Matched,Review Required,72.17,Pending
DV000477,DOC000477,CUST00239,2024-01-08,Manual Review,Authentic,Matched,Matched,Valid,80.43,Verified
DV000478,DOC000478,CUST00239,2026-10-16,Internal KYC Engine,Authentic,Matched,Matched,Valid,86.14,Verified
DV000479,DOC000479,CUST00240,2025-08-05,Manual Review,Authentic,Matched,Matched,Valid,91.18,Verified
DV000480,DOC000480,CUST00240,2026-11-08,Persona,Authentic,Matched,Matched,Valid,85.52,Verified
DV000481,DOC000481,CUST00241,2025-05-11,Internal KYC Engine,Under Review,Review Required,Matched,Review Required,61.92,Pending
DV000482,DOC000482,CUST00241,2026-11-28,Internal KYC Engine,Authentic,Matched,Matched,Valid,96.78,Verified
DV000483,DOC000483,CUST00242,2026-12-28,Onfido,Authentic,Matched,Matched,Valid,84.13,Verified
DV000484,DOC000484,CUST00242,2025-08-22,Onfido,Authentic,Matched,Matched,Valid,99.94,Verified
DV000485,DOC000485,CUST00243,2025-10-09,Onfido,Authentic,Matched,Matched,Expired,85.3,Verified
DV000486,DOC000486,CUST00243,2024-12-07,Manual Review,Authentic,Matched,Matched,Valid,95.85,Verified
DV000487,DOC000487,CUST00244,2024-08-30,Onfido,Under Review,Matched,Review Required,Review Required,77.98,Pending
DV000488,DOC000488,CUST00244,2024-10-12,Manual Review,Authentic,Matched,Matched,Valid,83.28,Verified
DV000489,DOC000489,CUST00245,2026-03-30,Internal KYC Engine,Authentic,Matched,Matched,Valid,80.78,Verified
DV000490,DOC000490,CUST00245,2024-05-05,Onfido,Authentic,Matched,Matched,Valid,91.06,Verified
DV000491,DOC000491,CUST00246,2025-01-01,Internal KYC Engine,Authentic,Matched,Matched,Valid,96.8,Verified
DV000492,DOC000492,CUST00246,2025-06-01,Internal KYC Engine,Authentic,Matched,Matched,Valid,90.69,Verified
DV000493,DOC000493,CUST00247,2025-03-29,Onfido,Authentic,Matched,Matched,Expired,90.4,Verified
DV000494,DOC000494,CUST00247,2025-01-24,Onfido,Authentic,Matched,Matched,Valid,91.13,Verified
DV000495,DOC000495,CUST00248,2025-04-30,Manual Review,Under Review,Review Required,Review Required,Review Required,58.85,Pending
DV000496,DOC000496,CUST00248,2024-08-05,Internal KYC Engine,Authentic,Matched,Matched,Valid,85.24,Verified
DV000497,DOC000497,CUST00249,2025-04-29,Onfido,Authentic,Matched,Matched,Valid,88.32,Verified
DV000498,DOC000498,CUST00249,2026-07-04,Internal KYC Engine,Authentic,Matched,Matched,Valid,82.99,Verified
DV000499,DOC000499,CUST00250,2024-04-06,Onfido,Authentic,Matched,Matched,Expired,98.3,Verified
DV000500,DOC000500,CUST00250,2025-12-07,Manual Review,Authentic,Matched,Matched,Valid,84.26,Verified
DV000501,DOC000501,CUST00251,2026-04-05,Onfido,Authentic,Matched,Matched,Expired,95.2,Verified
DV000502,DOC000502,CUST00251,2025-12-29,Persona,Authentic,Matched,Matched,Valid,91.84,Verified
DV000503,DOC000503,CUST00252,2026-01-02,Manual Review,Authentic,Matched,Matched,Expired,80.35,Verified
DV000504,DOC000504,CUST00252,2025-06-18,Persona,Authentic,Matched,Matched,Valid,85.86,Verified
DV000505,DOC000505,CUST00253,2025-08-25,Manual Review,Authentic,Matched,Matched,Expired,96.51,Verified
DV000506,DOC000506,CUST00253,2024-04-16,Manual Review,Authentic,Matched,Matched,Valid,88.98,Verified
DV000507,DOC000507,CUST00254,2024-02-09,Onfido,Authentic,Matched,Matched,Expired,98.28,Verified
DV000508,DOC000508,CUST00254,2024-11-27,Manual Review,Authentic,Matched,Matched,Valid,90.62,Verified
DV000509,DOC000509,CUST00255,2024-03-12,Onfido,Authentic,Matched,Matched,Valid,97.56,Verified
DV000510,DOC000510,CUST00255,2025-02-21,Manual Review,Authentic,Matched,Matched,Valid,82.26,Verified
DV000511,DOC000511,CUST00256,2024-09-08,Onfido,Authentic,Matched,Matched,Expired,87.45,Verified
DV000512,DOC000512,CUST00256,2025-08-28,Internal KYC Engine,Authentic,Matched,Matched,Valid,84.62,Verified
DV000513,DOC000513,CUST00257,2024-03-29,Manual Review,Under Review,Review Required,Matched,Review Required,67.44,Pending
DV000514,DOC000514,CUST00257,2025-12-03,Manual Review,Authentic,Matched,Matched,Valid,89.68,Verified
DV000515,DOC000515,CUST00258,2026-03-31,Internal KYC Engine,Authentic,Matched,Matched,Expired,91.17,Verified
DV000516,DOC000516,CUST00258,2024-03-20,Manual Review,Authentic,Matched,Matched,Valid,83.3,Verified
DV000517,DOC000517,CUST00259,2024-09-15,Onfido,Authentic,Matched,Matched,Expired,82.84,Verified
DV000518,DOC000518,CUST00259,2025-12-05,Manual Review,Authentic,Matched,Matched,Valid,86.47,Verified
DV000519,DOC000519,CUST00260,2024-10-07,Internal KYC Engine,Authentic,Matched,Matched,Expired,97.44,Verified
DV000520,DOC000520,CUST00260,2024-12-31,Persona,Authentic,Matched,Matched,Valid,98.65,Verified
DV000521,DOC000521,CUST00261,2025-01-05,Onfido,Authentic,Matched,Matched,Expired,98.78,Verified
DV000522,DOC000522,CUST00261,2025-11-10,Persona,Authentic,Matched,Matched,Valid,92.18,Verified
DV000523,DOC000523,CUST00262,2025-08-26,Manual Review,Authentic,Matched,Matched,Valid,84.31,Verified
DV000524,DOC000524,CUST00262,2025-06-13,Manual Review,Authentic,Matched,Matched,Valid,95.86,Verified
DV000525,DOC000525,CUST00263,2026-03-07,Internal KYC Engine,Authentic,Matched,Matched,Expired,86.15,Verified
DV000526,DOC000526,CUST00263,2025-10-28,Internal KYC Engine,Authentic,Matched,Matched,Valid,90.82,Verified
DV000527,DOC000527,CUST00264,2026-06-14,Internal KYC Engine,Authentic,Matched,Matched,Expired,91.95,Verified
DV000528,DOC000528,CUST00264,2026-09-28,Onfido,Suspicious,Mismatch,Mismatch,Expired,22.19,Rejected
DV000529,DOC000529,CUST00265,2025-08-11,Internal KYC Engine,Authentic,Matched,Matched,Expired,99.39,Verified
DV000530,DOC000530,CUST00265,2025-03-22,Onfido,Authentic,Matched,Matched,Valid,94.57,Verified
DV000531,DOC000531,CUST00266,2024-04-25,Onfido,Authentic,Matched,Matched,Valid,83.32,Verified
DV000532,DOC000532,CUST00266,2026-03-18,Persona,Authentic,Matched,Matched,Valid,94.82,Verified
DV000533,DOC000533,CUST00267,2024-07-06,Onfido,Authentic,Matched,Matched,Valid,93.17,Verified
DV000534,DOC000534,CUST00267,2026-08-25,Persona,Authentic,Matched,Matched,Valid,98.59,Verified
DV000535,DOC000535,CUST00268,2024-10-20,Manual Review,Authentic,Matched,Matched,Expired,98.46,Verified
DV000536,DOC000536,CUST00268,2026-05-21,Internal KYC Engine,Authentic,Matched,Matched,Valid,89.89,Verified
DV000537,DOC000537,CUST00269,2025-05-19,Internal KYC Engine,Authentic,Matched,Matched,Expired,90.72,Verified
DV000538,DOC000538,CUST00269,2025-10-19,Internal KYC Engine,Authentic,Matched,Matched,Valid,91.11,Verified
DV000539,DOC000539,CUST00270,2025-09-17,Persona,Authentic,Matched,Matched,Valid,83.42,Verified
DV000540,DOC000540,CUST00270,2025-12-10,Persona,Authentic,Matched,Matched,Valid,93.63,Verified
DV000541,DOC000541,CUST00271,2025-10-02,Onfido,Authentic,Matched,Matched,Expired,94.26,Verified
DV000542,DOC000542,CUST00271,2026-10-25,Internal KYC Engine,Authentic,Matched,Matched,Valid,88.12,Verified
DV000543,DOC000543,CUST00272,2026-07-07,Onfido,Under Review,Review Required,Review Required,Review Required,67.83,Pending
DV000544,DOC000544,CUST00272,2024-04-16,Onfido,Authentic,Matched,Matched,Valid,81.09,Verified
DV000545,DOC000545,CUST00273,2024-07-08,Internal KYC Engine,Authentic,Matched,Matched,Expired,87.27,Verified
DV000546,DOC000546,CUST00273,2025-09-21,Internal KYC Engine,Authentic,Matched,Matched,Valid,88.96,Verified
DV000547,DOC000547,CUST00274,2026-01-19,Persona,Authentic,Matched,Matched,Expired,89.43,Verified
DV000548,DOC000548,CUST00274,2024-10-16,Internal KYC Engine,Authentic,Matched,Matched,Valid,87.13,Verified
DV000549,DOC000549,CUST00275,2026-12-19,Internal KYC Engine,Authentic,Matched,Matched,Expired,88.77,Verified
DV000550,DOC000550,CUST00275,2026-08-02,Onfido,Authentic,Matched,Matched,Valid,82.24,Verified
DV000551,DOC000551,CUST00276,2025-09-06,Manual Review,Authentic,Matched,Matched,Valid,87.13,Verified
DV000552,DOC000552,CUST00276,2025-08-15,Persona,Authentic,Matched,Matched,Valid,83.99,Verified
DV000553,DOC000553,CUST00277,2026-11-11,Onfido,Under Review,Matched,Review Required,Review Required,56.71,Pending
DV000554,DOC000554,CUST00277,2024-09-12,Persona,Authentic,Matched,Matched,Valid,84.44,Verified
DV000555,DOC000555,CUST00278,2024-05-20,Persona,Authentic,Matched,Matched,Valid,88.43,Verified
DV000556,DOC000556,CUST00278,2026-12-03,Persona,Authentic,Matched,Matched,Valid,84.79,Verified
DV000557,DOC000557,CUST00279,2024-03-17,Manual Review,Authentic,Matched,Matched,Valid,88.54,Verified
DV000558,DOC000558,CUST00279,2024-12-24,Onfido,Authentic,Matched,Matched,Valid,90.12,Verified
DV000559,DOC000559,CUST00280,2024-12-22,Manual Review,Authentic,Matched,Matched,Valid,87.05,Verified
DV000560,DOC000560,CUST00280,2025-02-06,Onfido,Authentic,Matched,Matched,Valid,90.87,Verified
DV000561,DOC000561,CUST00281,2026-06-09,Persona,Authentic,Matched,Matched,Valid,85.7,Verified
DV000562,DOC000562,CUST00281,2024-05-08,Internal KYC Engine,Authentic,Matched,Matched,Valid,86.32,Verified
DV000563,DOC000563,CUST00282,2025-09-18,Manual Review,Under Review,Matched,Matched,Review Required,62.91,Pending
DV000564,DOC000564,CUST00282,2025-03-11,Internal KYC Engine,Authentic,Matched,Matched,Valid,86.53,Verified
DV000565,DOC000565,CUST00283,2026-09-15,Onfido,Authentic,Matched,Matched,Valid,94.58,Verified
DV000566,DOC000566,CUST00283,2024-08-07,Internal KYC Engine,Authentic,Matched,Matched,Valid,82.03,Verified
DV000567,DOC000567,CUST00284,2026-09-06,Persona,Authentic,Matched,Matched,Expired,88.5,Verified
DV000568,DOC000568,CUST00284,2026-02-20,Manual Review,Authentic,Matched,Matched,Valid,85.85,Verified
DV000569,DOC000569,CUST00285,2026-03-25,Onfido,Suspicious,Review Required,Review Required,Review Required,46.41,Rejected
DV000570,DOC000570,CUST00285,2025-04-04,Persona,Authentic,Matched,Matched,Valid,99.74,Verified
DV000571,DOC000571,CUST00286,2024-10-06,Internal KYC Engine,Authentic,Matched,Matched,Valid,96.27,Verified
DV000572,DOC000572,CUST00286,2025-11-30,Onfido,Under Review,Review Required,Review Required,Review Required,57.6,Pending
DV000573,DOC000573,CUST00287,2024-02-29,Onfido,Authentic,Matched,Matched,Expired,92.19,Verified
DV000574,DOC000574,CUST00287,2026-12-26,Internal KYC Engine,Authentic,Matched,Matched,Valid,82.24,Verified
DV000575,DOC000575,CUST00288,2024-02-04,Persona,Authentic,Matched,Matched,Valid,89.59,Verified
DV000576,DOC000576,CUST00288,2025-11-28,Persona,Authentic,Matched,Matched,Valid,96.65,Verified
DV000577,DOC000577,CUST00289,2024-06-23,Manual Review,Authentic,Matched,Matched,Valid,81.9,Verified
DV000578,DOC000578,CUST00289,2025-08-17,Internal KYC Engine,Authentic,Matched,Matched,Valid,93.27,Verified
DV000579,DOC000579,CUST00290,2025-08-26,Manual Review,Authentic,Matched,Matched,Expired,83.4,Verified
DV000580,DOC000580,CUST00290,2026-11-19,Internal KYC Engine,Authentic,Matched,Matched,Valid,85.54,Verified
DV000581,DOC000581,CUST00291,2026-01-29,Manual Review,Under Review,Review Required,Review Required,Review Required,62.7,Pending
DV000582,DOC000582,CUST00291,2025-12-14,Persona,Authentic,Matched,Matched,Valid,86.57,Verified
DV000583,DOC000583,CUST00292,2024-08-15,Onfido,Authentic,Matched,Matched,Expired,98.91,Verified
DV000584,DOC000584,CUST00292,2024-05-26,Manual Review,Authentic,Matched,Matched,Valid,83.58,Verified
DV000585,DOC000585,CUST00293,2026-08-05,Onfido,Authentic,Matched,Matched,Expired,94.9,Verified
DV000586,DOC000586,CUST00293,2025-09-04,Persona,Authentic,Matched,Matched,Valid,96.4,Verified
DV000587,DOC000587,CUST00294,2026-07-14,Onfido,Authentic,Matched,Matched,Expired,92.79,Verified
DV000588,DOC000588,CUST00294,2025-11-03,Internal KYC Engine,Authentic,Matched,Matched,Valid,89.24,Verified
DV000589,DOC000589,CUST00295,2025-06-21,Internal KYC Engine,Authentic,Matched,Matched,Expired,98.32,Verified
DV000590,DOC000590,CUST00295,2025-06-28,Persona,Authentic,Matched,Matched,Valid,96.22,Verified
DV000591,DOC000591,CUST00296,2024-11-23,Manual Review,Under Review,Review Required,Review Required,Review Required,72.06,Pending
DV000592,DOC000592,CUST00296,2024-08-02,Onfido,Authentic,Matched,Matched,Valid,99.64,Verified
DV000593,DOC000593,CUST00297,2025-03-21,Onfido,Authentic,Matched,Matched,Expired,83.64,Verified
DV000594,DOC000594,CUST00297,2026-10-26,Internal KYC Engine,Authentic,Matched,Matched,Valid,84.2,Verified
DV000595,DOC000595,CUST00298,2024-08-21,Onfido,Authentic,Matched,Matched,Expired,95.04,Verified
DV000596,DOC000596,CUST00298,2026-10-03,Onfido,Authentic,Matched,Matched,Valid,91.56,Verified
DV000597,DOC000597,CUST00299,2025-11-20,Onfido,Authentic,Matched,Matched,Valid,85.5,Verified
DV000598,DOC000598,CUST00299,2024-02-16,Persona,Authentic,Matched,Matched,Valid,97.75,Verified
DV000599,DOC000599,CUST00300,2026-06-30,Manual Review,Authentic,Matched,Matched,Expired,96.67,Verified
DV000600,DOC000600,CUST00300,2026-01-28,Internal KYC Engine,Authentic,Matched,Matched,Expired,91.54,Verified
DV000601,DOC000601,CUST00301,2026-05-20,Manual Review,Authentic,Matched,Matched,Expired,82.96,Verified
DV000602,DOC000602,CUST00301,2025-03-28,Internal KYC Engine,Authentic,Matched,Matched,Valid,91.7,Verified
DV000603,DOC000603,CUST00302,2025-10-03,Onfido,Authentic,Matched,Matched,Valid,81.79,Verified
DV000604,DOC000604,CUST00302,2026-08-09,Onfido,Authentic,Matched,Matched,Valid,95.09,Verified
DV000605,DOC000605,CUST00303,2025-10-14,Persona,Authentic,Matched,Matched,Expired,95.38,Verified
DV000606,DOC000606,CUST00303,2026-03-19,Onfido,Authentic,Matched,Matched,Valid,82.53,Verified
DV000607,DOC000607,CUST00304,2024-09-05,Onfido,Authentic,Matched,Matched,Expired,94.92,Verified
DV000608,DOC000608,CUST00304,2024-06-12,Onfido,Authentic,Matched,Matched,Expired,91.51,Verified
DV000609,DOC000609,CUST00305,2026-12-26,Persona,Authentic,Matched,Matched,Expired,84.97,Verified
DV000610,DOC000610,CUST00305,2026-08-29,Internal KYC Engine,Authentic,Matched,Matched,Valid,97.06,Verified
DV000611,DOC000611,CUST00306,2025-10-07,Internal KYC Engine,Authentic,Matched,Matched,Expired,82.69,Verified
DV000612,DOC000612,CUST00306,2024-03-27,Onfido,Under Review,Matched,Matched,Review Required,70.98,Pending
DV000613,DOC000613,CUST00307,2025-11-02,Onfido,Authentic,Matched,Matched,Valid,93.8,Verified
DV000614,DOC000614,CUST00307,2024-09-08,Onfido,Authentic,Matched,Matched,Valid,97.11,Verified
DV000615,DOC000615,CUST00308,2024-05-04,Persona,Authentic,Matched,Matched,Valid,85.67,Verified
DV000616,DOC000616,CUST00308,2026-08-02,Persona,Authentic,Matched,Matched,Valid,85.99,Verified
DV000617,DOC000617,CUST00309,2025-12-03,Manual Review,Authentic,Matched,Matched,Expired,88.01,Verified
DV000618,DOC000618,CUST00309,2026-04-03,Persona,Authentic,Matched,Matched,Valid,84.11,Verified
DV000619,DOC000619,CUST00310,2024-06-10,Persona,Authentic,Matched,Matched,Expired,98.3,Verified
DV000620,DOC000620,CUST00310,2026-11-09,Manual Review,Authentic,Matched,Matched,Valid,93.8,Verified
DV000621,DOC000621,CUST00311,2025-03-04,Internal KYC Engine,Authentic,Matched,Matched,Valid,91.37,Verified
DV000622,DOC000622,CUST00311,2024-05-03,Onfido,Authentic,Matched,Matched,Valid,84.84,Verified
DV000623,DOC000623,CUST00312,2025-10-20,Manual Review,Authentic,Matched,Matched,Expired,92.53,Verified
DV000624,DOC000624,CUST00312,2025-08-20,Manual Review,Authentic,Matched,Matched,Valid,81.81,Verified
DV000625,DOC000625,CUST00313,2024-06-25,Internal KYC Engine,Authentic,Matched,Matched,Valid,93.31,Verified
DV000626,DOC000626,CUST00313,2026-02-08,Persona,Authentic,Matched,Matched,Valid,97.22,Verified
DV000627,DOC000627,CUST00314,2025-01-15,Internal KYC Engine,Authentic,Matched,Matched,Expired,91.7,Verified
DV000628,DOC000628,CUST00314,2024-08-24,Onfido,Authentic,Matched,Matched,Valid,86.93,Verified
DV000629,DOC000629,CUST00315,2025-05-19,Manual Review,Authentic,Matched,Matched,Valid,87.6,Verified
DV000630,DOC000630,CUST00315,2024-03-28,Persona,Authentic,Matched,Matched,Valid,99.13,Verified
DV000631,DOC000631,CUST00316,2025-05-06,Manual Review,Authentic,Matched,Matched,Valid,96.77,Verified
DV000632,DOC000632,CUST00316,2026-07-24,Onfido,Authentic,Matched,Matched,Valid,89.72,Verified
DV000633,DOC000633,CUST00317,2026-05-13,Manual Review,Authentic,Matched,Matched,Valid,97.11,Verified
DV000634,DOC000634,CUST00317,2025-12-03,Persona,Authentic,Matched,Matched,Valid,88.2,Verified
DV000635,DOC000635,CUST00318,2026-02-12,Internal KYC Engine,Under Review,Review Required,Matched,Review Required,65.12,Pending
DV000636,DOC000636,CUST00318,2026-04-24,Onfido,Authentic,Matched,Matched,Valid,85.13,Verified
DV000637,DOC000637,CUST00319,2024-08-02,Manual Review,Authentic,Matched,Matched,Expired,80.7,Verified
DV000638,DOC000638,CUST00319,2025-09-05,Manual Review,Under Review,Review Required,Matched,Review Required,59.71,Pending
DV000639,DOC000639,CUST00320,2024-03-28,Internal KYC Engine,Authentic,Matched,Matched,Valid,96.56,Verified
DV000640,DOC000640,CUST00320,2024-03-17,Persona,Authentic,Matched,Matched,Valid,99.27,Verified
DV000641,DOC000641,CUST00321,2024-01-03,Persona,Authentic,Matched,Matched,Expired,93.39,Verified
DV000642,DOC000642,CUST00321,2025-03-14,Onfido,Authentic,Matched,Matched,Valid,89.81,Verified
DV000643,DOC000643,CUST00322,2026-09-23,Manual Review,Authentic,Matched,Matched,Valid,85.28,Verified
DV000644,DOC000644,CUST00322,2024-10-02,Onfido,Authentic,Matched,Matched,Valid,84.17,Verified
DV000645,DOC000645,CUST00323,2025-06-14,Internal KYC Engine,Authentic,Matched,Matched,Expired,85.27,Verified
DV000646,DOC000646,CUST00323,2026-12-19,Persona,Authentic,Matched,Matched,Valid,89.07,Verified
DV000647,DOC000647,CUST00324,2025-03-08,Onfido,Authentic,Matched,Matched,Valid,91.84,Verified
DV000648,DOC000648,CUST00324,2024-04-01,Manual Review,Authentic,Matched,Matched,Valid,91.51,Verified
DV000649,DOC000649,CUST00325,2024-01-08,Persona,Under Review,Review Required,Review Required,Review Required,57.54,Pending
DV000650,DOC000650,CUST00325,2025-07-23,Manual Review,Authentic,Matched,Matched,Valid,83.46,Verified
DV000651,DOC000651,CUST00326,2025-10-17,Internal KYC Engine,Authentic,Matched,Matched,Expired,95.31,Verified
DV000652,DOC000652,CUST00326,2025-04-30,Internal KYC Engine,Authentic,Matched,Matched,Valid,82.24,Verified
DV000653,DOC000653,CUST00327,2026-07-18,Persona,Authentic,Matched,Matched,Expired,90.75,Verified
DV000654,DOC000654,CUST00327,2024-09-09,Manual Review,Authentic,Matched,Matched,Valid,96.92,Verified
DV000655,DOC000655,CUST00328,2025-02-06,Onfido,Authentic,Matched,Matched,Expired,85.32,Verified
DV000656,DOC000656,CUST00328,2026-05-20,Onfido,Authentic,Matched,Matched,Valid,92.84,Verified
DV000657,DOC000657,CUST00329,2026-02-24,Internal KYC Engine,Authentic,Matched,Matched,Expired,95.78,Verified
DV000658,DOC000658,CUST00329,2024-03-12,Persona,Authentic,Matched,Matched,Valid,95.51,Verified
DV000659,DOC000659,CUST00330,2025-03-02,Onfido,Authentic,Matched,Matched,Valid,86.1,Verified
DV000660,DOC000660,CUST00330,2025-02-24,Manual Review,Authentic,Matched,Matched,Valid,90.15,Verified
DV000661,DOC000661,CUST00331,2026-01-05,Persona,Authentic,Matched,Matched,Expired,88.86,Verified
DV000662,DOC000662,CUST00331,2025-03-15,Manual Review,Authentic,Matched,Matched,Valid,94.65,Verified
DV000663,DOC000663,CUST00332,2026-08-30,Manual Review,Authentic,Matched,Matched,Valid,85.68,Verified
DV000664,DOC000664,CUST00332,2025-05-29,Onfido,Authentic,Matched,Matched,Valid,80.28,Verified
DV000665,DOC000665,CUST00333,2024-01-18,Onfido,Authentic,Matched,Matched,Valid,84.65,Verified
DV000666,DOC000666,CUST00333,2024-08-18,Internal KYC Engine,Authentic,Matched,Matched,Valid,92.45,Verified
DV000667,DOC000667,CUST00334,2026-05-08,Onfido,Authentic,Matched,Matched,Expired,83.86,Verified
DV000668,DOC000668,CUST00334,2024-12-07,Onfido,Suspicious,Mismatch,Review Required,Expired,23.6,Rejected
DV000669,DOC000669,CUST00335,2024-05-18,Persona,Authentic,Matched,Matched,Expired,98.48,Verified
DV000670,DOC000670,CUST00335,2025-04-21,Onfido,Authentic,Matched,Matched,Valid,97.25,Verified
DV000671,DOC000671,CUST00336,2025-12-30,Manual Review,Authentic,Matched,Matched,Expired,92.22,Verified
DV000672,DOC000672,CUST00336,2024-01-15,Internal KYC Engine,Authentic,Matched,Matched,Valid,89.24,Verified
DV000673,DOC000673,CUST00337,2024-05-15,Onfido,Authentic,Matched,Matched,Expired,95.16,Verified
DV000674,DOC000674,CUST00337,2026-10-10,Internal KYC Engine,Authentic,Matched,Matched,Valid,81.13,Verified
DV000675,DOC000675,CUST00338,2025-03-16,Persona,Authentic,Matched,Matched,Valid,81.99,Verified
DV000676,DOC000676,CUST00338,2025-05-06,Onfido,Authentic,Matched,Matched,Valid,85.41,Verified
DV000677,DOC000677,CUST00339,2026-09-15,Internal KYC Engine,Authentic,Matched,Matched,Valid,81.19,Verified
DV000678,DOC000678,CUST00339,2024-10-22,Persona,Authentic,Matched,Matched,Expired,81.98,Verified
DV000679,DOC000679,CUST00340,2026-08-30,Persona,Under Review,Review Required,Review Required,Review Required,50.82,Pending
DV000680,DOC000680,CUST00340,2025-06-07,Manual Review,Authentic,Matched,Matched,Valid,94.89,Verified
DV000681,DOC000681,CUST00341,2024-06-09,Manual Review,Under Review,Matched,Matched,Review Required,55.15,Pending
DV000682,DOC000682,CUST00341,2024-10-22,Persona,Authentic,Matched,Matched,Valid,96.84,Verified
DV000683,DOC000683,CUST00342,2025-06-26,Persona,Authentic,Matched,Matched,Expired,85.79,Verified
DV000684,DOC000684,CUST00342,2024-07-23,Onfido,Authentic,Matched,Matched,Valid,83.45,Verified
DV000685,DOC000685,CUST00343,2024-04-15,Onfido,Authentic,Matched,Matched,Expired,90.67,Verified
DV000686,DOC000686,CUST00343,2026-02-22,Manual Review,Authentic,Matched,Matched,Valid,83.85,Verified
DV000687,DOC000687,CUST00344,2026-02-20,Persona,Authentic,Matched,Matched,Expired,81.98,Verified
DV000688,DOC000688,CUST00344,2024-01-25,Persona,Authentic,Matched,Matched,Valid,81.01,Verified
DV000689,DOC000689,CUST00345,2026-07-07,Persona,Authentic,Matched,Matched,Expired,90.92,Verified
DV000690,DOC000690,CUST00345,2024-11-06,Onfido,Authentic,Matched,Matched,Valid,81.12,Verified
DV000691,DOC000691,CUST00346,2025-11-17,Persona,Authentic,Matched,Matched,Expired,80.64,Verified
DV000692,DOC000692,CUST00346,2026-04-28,Persona,Authentic,Matched,Matched,Valid,87.82,Verified
DV000693,DOC000693,CUST00347,2026-01-08,Persona,Authentic,Matched,Matched,Expired,81.4,Verified
DV000694,DOC000694,CUST00347,2024-03-04,Onfido,Authentic,Matched,Matched,Valid,88.19,Verified
DV000695,DOC000695,CUST00348,2026-09-01,Internal KYC Engine,Authentic,Matched,Matched,Expired,86.78,Verified
DV000696,DOC000696,CUST00348,2024-07-15,Manual Review,Authentic,Matched,Matched,Valid,80.6,Verified
DV000697,DOC000697,CUST00349,2026-08-02,Persona,Suspicious,Mismatch,Review Required,Expired,11.01,Rejected
DV000698,DOC000698,CUST00349,2024-07-02,Persona,Authentic,Matched,Matched,Valid,92.31,Verified
DV000699,DOC000699,CUST00350,2024-03-11,Manual Review,Authentic,Matched,Matched,Valid,95.05,Verified
DV000700,DOC000700,CUST00350,2024-07-10,Onfido,Authentic,Matched,Matched,Valid,83.43,Verified
DV000701,DOC000701,CUST00351,2026-02-18,Onfido,Authentic,Matched,Matched,Expired,84.08,Verified
DV000702,DOC000702,CUST00351,2026-08-25,Onfido,Authentic,Matched,Matched,Valid,94.86,Verified
DV000703,DOC000703,CUST00352,2026-10-12,Persona,Authentic,Matched,Matched,Valid,93.1,Verified
DV000704,DOC000704,CUST00352,2024-02-21,Internal KYC Engine,Authentic,Matched,Matched,Valid,83.71,Verified
DV000705,DOC000705,CUST00353,2025-07-26,Manual Review,Authentic,Matched,Matched,Valid,86.32,Verified
DV000706,DOC000706,CUST00353,2026-10-12,Onfido,Authentic,Matched,Matched,Valid,95.85,Verified
DV000707,DOC000707,CUST00354,2024-05-20,Manual Review,Authentic,Matched,Matched,Expired,91.39,Verified
DV000708,DOC000708,CUST00354,2026-07-20,Internal KYC Engine,Authentic,Matched,Matched,Valid,96.68,Verified
DV000709,DOC000709,CUST00355,2026-04-13,Onfido,Authentic,Matched,Matched,Expired,86.13,Verified
